question,answer
Who wrote 'The Divine Comedy'?,Dante Alighieri
What is the chemical symbol for chlorine?,Cl
What is the largest city in Africa?,Lagos
Who discovered the electron?,J.J. Thomson
What is the capital of Iran?,Tehran
What is the main ingredient in ceviche?,Fish
Who wrote 'The Metamorphosis'?,Franz Kafka
What is the chemical symbol for calcium?,Ca
What is the largest island in the Mediterranean?,Sicily
Who discovered radioactivity?,Henri Becquerel
What is the capital of Indonesia?,Jakarta
What is the main ingredient in tamales?,Corn Dough
Who wrote 'The Stranger'?,Albert Camus
What is the chemical symbol for iron?,Fe
What is the largest desert in Asia?,Gobi Desert
Who discovered the structure of DNA?,James Watson and Francis Crick
What is the capital of Iceland?,Reykjavik
What is the main ingredient in paella?,Rice
Who wrote 'The Trial'?,Franz Kafka
What is the chemical symbol for potassium?,K
What is the largest city in South America?,São Paulo
Who discovered the neutron?,James Chadwick
What is the capital of Hungary?,Budapest
What is the main ingredient in tacos?,Tortillas
Who wrote 'Anna Karenina'?,Leo Tolstoy
What is the chemical symbol for zinc?,Zn
What is the largest lake in Africa?,Lake Victoria
Who discovered the polio vaccine?,Jonas Salk
What is the capital of Honduras?,Tegucigalpa
What is the main ingredient in spaghetti?,Pasta
Who wrote 'The Adventures of Huckleberry Finn'?,Mark Twain
What is the chemical symbol for copper?,Cu
What is the largest mountain range in the world?,Himalayas
Who discovered the laws of inheritance?,Gregor Mendel
What is the capital of Haiti?,Port-au-Prince
What is the main ingredient in lasagna?,Pasta
Who wrote 'To the Lighthouse'?,Virginia Woolf
What is the chemical symbol for gold?,Au
What is the largest country in Europe?,Russia
What is the largest island in Europe?,Great Britain
Who discovered the law of conservation of energy?,Joule
What is the capital of Italy?,Rome
What is the main ingredient in sushi?,Rice
Who wrote 'The Adventures of Tom Sawyer'?,Mark Twain
What is the chemical symbol for silver?,Ag
What is the largest country in South America?,Brazil
What does CPU stand for?,Central Processing Unit
Which programming language is known for its use in web development?,JavaScript
What is the main function of an operating system?,To manage computer hardware and software resources
What does HTML stand for?,HyperText Markup Language
What does GUI stand for?,Graphical User Interface
Which symbol is used to start a comment in Python?,#
What does URL stand for?,Uniform Resource Locator
What is the most common type of data structure used to store key-value pairs?,Hash Table
What is the basic unit of information in a computer?,Bit
Which company developed the Windows operating system?,Microsoft
What is the full form of RAM?,Random Access Memory
Which programming language is known for its simplicity and readability?,Python
What does SSD stand for?,Solid State Drive
Which protocol is used to send email?,SMTP
What is a file extension?,The suffix at the end of a filename indicating the file type
Which company developed the Linux operating system?,Linus Torvalds
What does API stand for?,Application Programming Interface
What is the primary function of a browser?,To access and display web pages
Which programming language is known for its use in Android app development?,Java
What does HTTP stand for?,HyperText Transfer Protocol
Which tool is used for version control in software development?,Git
What is the purpose of an algorithm?,To provide a step-by-step solution to a problem
What does SQL stand for?,Structured Query Language
Which technology is used to create websites and web applications?,HTML/CSS/JavaScript
What is a loop in programming?,A control structure that repeats a block of code
What does USB stand for?,Universal Serial Bus
What is the function of a database?,To store and manage data
Which programming language is often used for system programming?,C
What does IDE stand for in software development?,Integrated Development Environment
What is an operating system?,Software that manages computer hardware and software resources
What does CSS stand for?,Cascading Style Sheets
Which data structure uses a LIFO (Last In, First Out) principle?,Stack
What is the purpose of encryption?,To secure data by converting it into a code
What does DNS stand for?,Domain Name System
Which language is known as a "low-level" language?,Assembly
What is a variable in programming?,A storage location identified by a name that holds data
What does GUI stand for?,Graphical User Interface
What is a software bug?,An error or flaw in a software program
What does FTP stand for?,File Transfer Protocol
Which data structure uses a FIFO (First In, First Out) principle?,Queue
What is a programming paradigm?,A fundamental style of programming
What does IPv4 stand for?,Internet Protocol version 4
Which language is used for statistical computing and graphics?,R
What is the purpose of a firewall?,To protect a network from unauthorized access
What does GUI stand for?,Graphical User Interface
Which data structure is used for hierarchical data representation?,Tree
What is the purpose of a compiler?,To translate source code into machine code
What does HTTP stand for?,HyperText Transfer Protocol
Which algorithm is used for sorting data?,Quick Sort
What is a data type in programming?,A classification of data that tells the compiler how the programmer intends to use the data
What does JSON stand for?,JavaScript Object Notation
Which protocol is used for secure communication over the internet?,HTTPS
What is the purpose of a debugger?,To identify and fix bugs in software
What does RAM stand for?,Random Access Memory
What is a kernel in an operating system?,The core component that manages system resources
Which programming language is known for its use in data science?,Python
What is the function of a router?,To direct data packets between networks
What does SaaS stand for?,Software as a Service
Which sorting algorithm is known for its simplicity and is often used in educational contexts?,Bubble Sort
What is the role of an API in web development?,To enable interaction between different software applications
What does DHCP stand for?,Dynamic Host Configuration Protocol
Which programming language is used for web server scripting?,PHP
What is a class in object-oriented programming?,A blueprint for creating objects
What does BIOS stand for?,Basic Input/Output System
Which data structure is used for implementing a priority queue?,Heap
What is a function in programming?,A reusable block of code that performs a specific task
What does SQL stand for?,Structured Query Language
Which language is known for its use in mobile app development for iOS?,Swift
What is a software framework?,A platform for developing software applications
What does XML stand for?,eXtensible Markup Language
Which algorithm is commonly used for searching data in a sorted array?,Binary Search
What is the purpose of a cache?,To speed up data retrieval by storing frequently accessed data
What does RAID stand for?,Redundant Array of Independent Disks
Which data structure is used to implement a stack?,Array or Linked List
What is the function of a virtual machine?,To emulate a computer system within another system
What does HTML stand for?,HyperText Markup Language
Which technology is used for creating interactive web pages?,JavaScript
What is a protocol in networking?,A set of rules for data transmission
What does GUI stand for?,Graphical User Interface
Which data structure is used for implementing a graph?,Adjacency List or Adjacency Matrix
What is the purpose of version control?,To manage changes to source code over time
What does DNS stand for?,Domain Name System
Which programming language is known for its use in statistical analysis and data visualization?,R
What is a network protocol?,A standard set of rules for data transmission between devices
What does VPN stand for?,Virtual Private Network
Which algorithm is used for encrypting data?,AES (Advanced Encryption Standard)
What is a programming language?,A set of instructions used to communicate with a computer
What does FTP stand for?,File Transfer Protocol
Which data structure is used for implementing a hash table?,Array with Linked Lists or Buckets
What is an IP address?,A unique address assigned to each device on a network
What does IDE stand for?,Integrated Development Environment
Which technology is used for managing databases?,SQL
What is a variable in programming?,A named storage location that holds data
What does TCP stand for?,Transmission Control Protocol
Which programming language is often used for scientific computing?,Python
What is a compiler?,A tool that translates source code into machine code
What does JSON stand for?,JavaScript Object Notation
Which data structure is used to implement a graph?,Adjacency List or Adjacency Matrix
What is the purpose of a server?,To provide resources or services to other computers over a network
What does API stand for?,Application Programming Interface
Which language is known for its use in web server development?,PHP
What is the purpose of an operating system?,To manage computer hardware and software resources
What does RAID stand for?,Redundant Array of Independent Disks
Which protocol is used for secure communication over the internet?,HTTPS
What is the function of a database?,To store and manage data
What does URL stand for?,Uniform Resource Locator
Which data structure uses a LIFO principle?,Stack
What is a loop in programming?,A control structure that repeats a block of code
What does BIOS stand for?,Basic Input/Output System
Which programming language is known for its use in web development?,JavaScript
What is a class in object-oriented programming?,A blueprint for creating objects
What does TCP stand for?,Transmission Control Protocol
Which data structure is used for hierarchical data representation?,Tree
What is a software bug?,An error or flaw in a software program
What does DHCP stand for?,Dynamic Host Configuration Protocol
Which programming language is known for its use in Android app development?,Java
What is the purpose of a firewall?,To protect a network from unauthorized access
What does URL stand for?,Uniform Resource Locator
Which tool is used for version control in software development?,Git
What is a variable in programming?,A storage location identified by a name that holds data
What does API stand for?,Application Programming Interface
Which data structure is used for implementing a priority queue?,Heap
What is the role of an API in web development?,To enable interaction between different software applications
What does HTTP stand for?,HyperText Transfer Protocol
Which algorithm is used for sorting data?,Quick Sort
What is the function of a router?,To direct data packets between networks
What does SSD stand for?,Solid State Drive
Which programming language is used for web server scripting?,PHP
What is the basic unit of information in a computer?,Bit
What does SaaS stand for?,Software as a Service
Which data structure uses a FIFO principle?,Queue
What is the purpose of a debugger?,To identify and fix bugs in software
What does IPv4 stand for?,Internet Protocol version 4
Which language is known for its use in data science?,Python
What is a file extension?,The suffix at the end of a filename indicating the file type
What does JSON stand for?,JavaScript Object Notation
Which protocol is used to send email?,SMTP
What is a software framework?,A platform for developing software applications
What does XML stand for?,eXtensible Markup Language
Which algorithm is commonly used for searching data in a sorted array?,Binary Search
What is the purpose of a cache?,To speed up data retrieval by storing frequently accessed data
What does TCP stand for?,Transmission Control Protocol
Which data structure is used for implementing a hash table?,Array with Linked Lists or Buckets
What is an IP address?,A unique address assigned to each device on a network
What does VPN stand for?,Virtual Private Network
Which programming language is known for its simplicity and readability?,Python
What is a kernel in an operating system?,The core component that manages system resources
What does HTML stand for?,HyperText Markup Language
Which technology is used for creating interactive web pages?,JavaScript
What is a network protocol?,A standard set of rules for data transmission between devices
What does RAID stand for?,Redundant Array of Independent Disks
Which language is used for statistical computing and graphics?,R
What is a class in object-oriented programming?,A blueprint for creating objects
What does BIOS stand for?,Basic Input/Output System
Which data structure is used to implement a graph?,Adjacency List or Adjacency Matrix
What is the purpose of version control?,To manage changes to source code over time
What does DNS stand for?,Domain Name System
Which programming language is used for scientific computing?,Python
What is the purpose of an operating system?,To manage computer hardware and software resources
What does SQL stand for?,Structured Query Language
Which data structure uses a LIFO principle?,Stack
What is a file extension?,The suffix at the end of a filename indicating the file type
What does JSON stand for?,JavaScript Object Notation
Which algorithm is used for sorting data?,Quick Sort
What is the purpose of a firewall?,To protect a network from unauthorized access
What does HTTPS stand for?,HyperText Transfer Protocol Secure
Which data structure is used for hierarchical data representation?,Tree
What is the role of an API in web development?,To enable interaction between different software applications
What does SSD stand for?,Solid State Drive
Which programming language is known for its use in web server development?,PHP
What is a variable in programming?,A named storage location that holds data
What does TCP stand for?,Transmission Control Protocol
Which data structure is used for implementing a graph?,Adjacency List or Adjacency Matrix
What is a software bug?,An error or flaw in a software program
What does HTML stand for?,HyperText Markup Language
Which technology is used for managing databases?,SQL
What is a class in object-oriented programming?,A blueprint for creating objects
What does API stand for?,Application Programming Interface
Which protocol is used for secure communication over the internet?,HTTPS
What is the purpose of a cache?,To speed up data retrieval by storing frequently accessed data
What does JSON stand for?,JavaScript Object Notation
Which programming language is known for its use in data science?,Python
What is the function of a router?,To direct data packets between networks
What does URL stand for?,Uniform Resource Locator
Which data structure is used to implement a priority queue?,Heap
What is a software framework?,A platform for developing software applications
What does FTP stand for?,File Transfer Protocol
Which data structure is used for hierarchical data representation?,Tree
What is a programming paradigm?,A fundamental style of programming
What does DHCP stand for?,Dynamic Host Configuration Protocol
Which algorithm is used for encrypting data?,AES (Advanced Encryption Standard)
What is the function of a database?,To store and manage data
What does GUI stand for?,Graphical User Interface
Which language is known for its use in Android app development?,Java
What is a class in object-oriented programming?,A blueprint for creating objects
What does IP stand for?,Internet Protocol
Which data structure uses a FIFO principle?,Queue
What is a software bug?,An error or flaw in a software program
What does BIOS stand for?,Basic Input/Output System
Which data structure is used for implementing a stack?,Array or Linked List
What is the purpose of an algorithm?,To provide a step-by-step solution to a problem
What does HTML stand for?,HyperText Markup Language
Which technology is used for creating interactive web pages?,JavaScript
What is the purpose of version control?,To manage changes to source code over time
What does JSON stand for?,JavaScript Object Notation
Which programming language is known for its use in mobile app development for iOS?,Swift
What is a file extension?,The suffix at the end of a filename indicating the file type
What does API stand for?,Application Programming Interface
Which data structure uses a LIFO principle?,Stack
What is the role of a database?,To store and manage data
What does FTP stand for?,File Transfer Protocol
Which programming language is known for its simplicity and readability?,Python
What is the function of a compiler?,To translate source code into machine code
What does URL stand for?,Uniform Resource Locator



